,Plant,0:00:00,0:30:00,1:00:00,1:30:00,2:00:00,2:30:00,3:00:00,3:30:00,System_Initialize,4:30:00,5:00:00,5:30:00,6:00:00,6:30:00,7:00:00,7:30:00,8:00:00,8:30:00,9:00:00,9:30:00,10:00:00,10:30:00,11:00:00,11:30:00,Lunch_Break,12:30:00,13:00:00,13:30:00,14:00:00,14:30:00,15:00:00,15:30:00,16:00:00,16:30:00,17:00:00,17:30:00,18:00:00,18:30:00,19:00:00,19:30:00,20:00:00,20:30:00,21:00:00,21:30:00,22:00:00,22:30:00,23:00:00,23:30:00,Date
1024,Uku,40,40,40,40,38.613,20.613,20,20,20,20,20,20,20,20,20,20,20,20,20,20,40,40,40,40,40,40,40,40,40,40,40,40,40,20,40,40,20,40,40,40,20,20,20,20,40,40,40,40,7/26/2020
1120,Uku,36,36,36,36,26.931,20,0,0,0,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,7/23/2020
4,Uthuru_Janani,20,20,20,20,20,4,4,9.0547,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,11.74,7/25/2020
30,Uthuru_Janani,20,14.309,6.3091,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,7/29/2020
74,Uthuru_Janani,4,4,4,4,4,0,0,0,0,4,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,2020 - 07 - 6.
101,Uthuru_Janani,0,0,0,0,0,0,0,0,0,0,4,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,0,0,0,7/10/2020
185,Uthuru_Janani,20,20,20,20,20,20,20,20,20,20,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,20,2020 - 07 - 9.
215,Uthuru_Janani,20,15.516,13.516,4,0,0,0,0,0,6.5158,20,20,20,20,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,20,20,20,20,20,20,20,20,20,20,20,19.39,2020 - 07 - 3.
219,Uthuru_Janani,20,4,4,4,0,0,0,0,0,16,16,16,16,16,16,16,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,13.333,16,16,16,16,16,16,16,16,16,16,16,16,16,4,7/21/2020
224,Uthuru_Janani,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020 - 07 - 5.
